usuario,hotel_recomendado,hotel_consumido,propiedad,path_length,path_count,path_type_variety,shared_property_weight_score,path_confidence_score,weighted_kps,path_type_frequency
3,2963,1783,has_category:Landmarks & Historical Buildings,2,10,4,17.5,8.5,17.5,4
3,2963,1783,has_category:Local Flavor,2,10,4,17.5,8.5,17.5,4
3,2963,1783,has_category:Arts & Entertainment,2,10,4,17.5,8.5,17.5,4
3,2963,1783,has_attribute:GoodForKids=True,2,10,4,17.5,8.5,17.5,2
3,2963,1783,has_attribute:ByAppointmentOnly=False,2,10,4,17.5,8.5,17.5,2
3,2963,1783,has_attribute:WiFi=free,2,10,4,17.5,8.5,17.5,2
3,2963,1783,has_attribute:BusinessAcceptsCreditCards=True,2,10,4,17.5,8.5,17.5,2
3,2963,1783,in_state:PA,2,10,4,17.5,8.5,17.5,4
3,2963,1783,located_in_city:Philadelphia,2,10,4,17.5,8.5,17.5,3
3,2972,457,has_category:Tours,2,4,2,6.3,2.3,6.3,3
3,2972,457,has_category:Landmarks & Historical Buildings,2,4,2,6.3,2.3,6.3,3
3,2972,457,has_category:Public Services & Government,2,4,2,6.3,2.3,6.3,3
3,2972,457,status:open,2,4,2,6.3,2.3,6.3,4
3,2972,2513,has_rating:4.0 stars,2,5,3,7.8,3.8,7.8,1
3,2972,2513,status:open,2,5,3,7.8,3.8,7.8,4
3,2972,2513,has_category:Public Services & Government,2,5,3,7.8,3.8,7.8,3
3,2972,2513,has_category:Tours,2,5,3,7.8,3.8,7.8,3
3,2972,2513,has_category:Landmarks & Historical Buildings,2,5,3,7.8,3.8,7.8,3
3,2972,1941,status:open,2,1,1,0.3,0.3,0.3,4
3,2972,1783,has_category:Public Services & Government,2,6,3,9.3,3.3,9.3,3
3,2972,1783,has_category:Restaurants,2,6,3,9.3,3.3,9.3,3
3,2972,1783,has_category:Landmarks & Historical Buildings,2,6,3,9.3,3.3,9.3,3
3,2972,1783,has_category:Local Flavor,2,6,3,9.3,3.3,9.3,3
3,2972,1783,has_attribute:GoodForKids=True,2,6,3,9.3,3.3,9.3,1
3,2972,1783,status:open,2,6,3,9.3,3.3,9.3,4
3,3069,457,status:open,2,1,1,0.3,0.3,0.3,4
3,3069,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,3069,1941,status:open,2,1,1,0.3,0.3,0.3,4
3,3069,1783,status:open,2,1,1,0.3,0.3,0.3,4
3,3119,457,status:open,2,1,1,0.3,0.3,0.3,4
3,3119,2513,has_rating:4.0 stars,2,2,2,1.8,1.8,1.8,1
3,3119,2513,status:open,2,2,2,1.8,1.8,1.8,4
3,3119,1941,status:open,2,4,3,4.3,3.3,4.3,4
3,3119,1941,has_attribute:WiFi=free,2,4,3,4.3,3.3,4.3,2
3,3119,1941,has_attribute:BusinessAcceptsCreditCards=True,2,4,3,4.3,3.3,4.3,2
3,3119,1941,has_category:Event Planning & Services,2,4,3,4.3,3.3,4.3,1
3,3119,1783,has_attribute:WiFi=free,2,3,2,2.3,1.3,2.3,2
3,3119,1783,has_attribute:BusinessAcceptsCreditCards=True,2,3,2,2.3,1.3,2.3,2
3,3119,1783,status:open,2,3,2,2.3,1.3,2.3,4
3,3136,457,status:open,2,1,1,0.3,0.3,0.3,4
3,3136,2513,has_rating:4.0 stars,2,2,2,1.8,1.8,1.8,1
3,3136,2513,status:open,2,2,2,1.8,1.8,1.8,4
3,3136,1941,status:open,2,1,1,0.3,0.3,0.3,4
3,3136,1783,has_category:Local Flavor,2,5,3,6.3,3.3,6.3,1
3,3136,1783,has_category:Arts & Entertainment,2,5,3,6.3,3.3,6.3,1
3,3136,1783,has_attribute:ByAppointmentOnly=False,2,5,3,6.3,3.3,6.3,1
3,3136,1783,has_attribute:GoodForKids=True,2,5,3,6.3,3.3,6.3,1
3,3136,1783,status:open,2,5,3,6.3,3.3,6.3,4
3,3165,457,status:open,2,1,1,0.3,0.3,0.3,4
3,3165,2513,status:open,2,1,1,0.3,0.3,0.3,4
3,3165,1941,status:open,2,5,3,5.3,3.3,5.3,4
3,3165,1941,has_attribute:WiFi=free,2,5,3,5.3,3.3,5.3,2
3,3165,1941,has_attribute:BusinessAcceptsCreditCards=True,2,5,3,5.3,3.3,5.3,2
3,3165,1941,has_attribute:RestaurantsPriceRange2=2,2,5,3,5.3,3.3,5.3,2
3,3165,1941,has_category:Event Planning & Services,2,5,3,5.3,3.3,5.3,2
3,3165,1783,has_category:Arts & Entertainment,2,5,3,5.3,3.3,5.3,2
3,3165,1783,has_attribute:ByAppointmentOnly=False,2,5,3,5.3,3.3,5.3,2
3,3165,1783,has_attribute:WiFi=free,2,5,3,5.3,3.3,5.3,2
3,3165,1783,has_attribute:BusinessAcceptsCreditCards=True,2,5,3,5.3,3.3,5.3,2
3,3165,1783,status:open,2,5,3,5.3,3.3,5.3,4
3,3178,457,located_in_city:Philadelphia,2,3,3,5.8,5.8,5.8,3
3,3178,457,in_state:PA,2,3,3,5.8,5.8,5.8,4
3,3178,457,status:open,2,3,3,5.8,5.8,5.8,4
3,3178,2513,located_in_city:Philadelphia,2,3,3,5.8,5.8,5.8,3
3,3178,2513,in_state:PA,2,3,3,5.8,5.8,5.8,4
3,3178,2513,status:open,2,3,3,5.8,5.8,5.8,4
3,3178,1941,status:open,2,2,2,2.8,2.8,2.8,4
3,3178,1941,in_state:PA,2,2,2,2.8,2.8,2.8,4
3,3178,1783,in_state:PA,2,3,3,5.8,5.8,5.8,4
3,3178,1783,status:open,2,3,3,5.8,5.8,5.8,4
3,3178,1783,located_in_city:Philadelphia,2,3,3,5.8,5.8,5.8,3
3,3209,457,located_in_city:Philadelphia,2,4,4,7.8,7.8,7.8,3
3,3209,457,in_state:PA,2,4,4,7.8,7.8,7.8,4
3,3209,457,has_category:Public Services & Government,2,4,4,7.8,7.8,7.8,3
3,3209,457,status:open,2,4,4,7.8,7.8,7.8,4
3,3209,2513,located_in_city:Philadelphia,2,5,5,9.3,9.3,9.3,3
3,3209,2513,in_state:PA,2,5,5,9.3,9.3,9.3,4
3,3209,2513,has_rating:4.0 stars,2,5,5,9.3,9.3,9.3,1
3,3209,2513,status:open,2,5,5,9.3,9.3,9.3,4
3,3209,2513,has_category:Public Services & Government,2,5,5,9.3,9.3,9.3,3
3,3209,1941,status:open,2,3,3,3.8,3.8,3.8,4
3,3209,1941,has_attribute:WiFi=free,2,3,3,3.8,3.8,3.8,2
3,3209,1941,in_state:PA,2,3,3,3.8,3.8,3.8,4
3,3209,1783,has_category:Public Services & Government,2,6,5,9.8,8.8,9.8,3
3,3209,1783,has_attribute:ByAppointmentOnly=False,2,6,5,9.8,8.8,9.8,2
3,3209,1783,has_attribute:WiFi=free,2,6,5,9.8,8.8,9.8,2
3,3209,1783,in_state:PA,2,6,5,9.8,8.8,9.8,4
3,3209,1783,status:open,2,6,5,9.8,8.8,9.8,4
3,3209,1783,located_in_city:Philadelphia,2,6,5,9.8,8.8,9.8,3
3,3237,457,located_in_city:Philadelphia,2,5,5,8.8,8.8,8.8,3
3,3237,457,in_state:PA,2,5,5,8.8,8.8,8.8,4
3,3237,457,has_category:Tours,2,5,5,8.8,8.8,8.8,3
3,3237,457,has_postal_code:19106,2,5,5,8.8,8.8,8.8,3
3,3237,457,status:open,2,5,5,8.8,8.8,8.8,4
3,3237,2513,located_in_city:Philadelphia,2,5,5,8.8,8.8,8.8,3
3,3237,2513,in_state:PA,2,5,5,8.8,8.8,8.8,4
3,3237,2513,has_postal_code:19106,2,5,5,8.8,8.8,8.8,3
3,3237,2513,status:open,2,5,5,8.8,8.8,8.8,4
3,3237,2513,has_category:Tours,2,5,5,8.8,8.8,8.8,3
3,3237,1941,status:open,2,4,4,5.8,5.8,5.8,4
3,3237,1941,has_attribute:BusinessAcceptsCreditCards=True,2,4,4,5.8,5.8,5.8,2
3,3237,1941,has_category:Event Planning & Services,2,4,4,5.8,5.8,5.8,3
