usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
35,24,2989,3,0.21428571428571427,2,1.0,0.04,0.07692307692307693,0.8808251803598827,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.8,0.04,0.8333333333333333,0.3464101615137754
35,2557,4326,2,0.1111111111111111,2,1.0,0.02666666666666667,0.05194805194805195,0.8597186998521972,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.8571428571428571,0.02666666666666667,1.0,0.282842712474619
35,2557,5767,2,0.2,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,2557,2344,1,0.0196078431372549,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,2557,2989,3,0.21428571428571427,3,1.0,0.04,0.07692307692307693,0.7396673768007592,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.7,0.04,1.0,0.4242640687119285
35,2612,4326,4,0.2222222222222222,3,1.0,0.05333333333333334,0.10126582278481014,0.9226271059191403,1.0,1.0,1.0,1.5,0.25,0.0,1.0,0.9230769230769231,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,2612,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,2612,2344,5,0.09803921568627451,3,1.0,0.06666666666666667,0.125,0.910876222013499,1.0,1.0,1.0,1.3709505944546687,0.4,0.0,1.0,0.8666666666666667,0.06666666666666667,0.7333333333333332,0.5477225575051661
35,2612,2989,3,0.21428571428571427,3,1.0,0.04,0.07692307692307693,0.9323665287394267,1.0,1.0,1.0,1.584962500721156,0.0,0.0,1.0,1.0,0.04,1.0,0.4242640687119285
35,2723,4326,8,0.4444444444444444,3,1.0,0.06666666666666667,0.125,0.9913646294746149,1.0,1.0,1.0,1.061278124459133,0.5,0.0,1.0,1.0,0.10666666666666667,0.5833333333333333,0.6928203230275508
35,2723,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,2723,2344,8,0.1568627450980392,3,1.0,0.06666666666666667,0.125,0.9942646540427001,1.0,1.0,1.0,1.061278124459133,0.5,0.0,1.0,0.9047619047619048,0.10666666666666667,0.5833333333333333,0.6928203230275508
35,2723,2989,7,0.5,4,1.0,0.06666666666666667,0.125,0.8395111689006978,1.0,1.0,1.0,1.6644977792004614,0.42857142857142855,0.0,1.0,0.9473684210526315,0.09333333333333334,0.6785714285714286,0.7483314773547883
35,2933,4326,2,0.1111111111111111,2,1.0,0.02666666666666667,0.05194805194805195,0.8597186998521972,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.8571428571428571,0.02666666666666667,1.0,0.282842712474619
35,2933,5767,4,0.4,4,1.0,0.05333333333333334,0.10126582278481014,0.6928998152559478,1.0,1.0,1.0,2.0,0.75,0.0,1.0,0.5384615384615384,0.05333333333333334,1.0,0.565685424949238
35,2933,2344,1,0.0196078431372549,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,2933,2989,2,0.14285714285714285,2,1.0,0.02666666666666667,0.05194805194805195,0.8597186998521972,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.8571428571428571,0.02666666666666667,1.0,0.282842712474619
35,3081,4326,9,0.5,6,1.0,0.06666666666666667,0.125,0.8160760013970175,1.0,1.0,1.0,2.4193819456463714,0.6666666666666666,0.0,1.0,0.9130434782608695,0.12,0.7592592592592593,1.0
35,3081,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,3081,2344,17,0.3333333333333333,3,1.0,0.06666666666666667,0.125,0.7603739868614454,1.0,1.0,1.0,1.086312840741288,0.8235294117647058,0.0,1.0,0.7428571428571429,0.22666666666666666,0.5686274509803921,1.0
35,3081,2989,6,0.42857142857142855,5,1.0,0.06666666666666667,0.125,0.933579955310489,1.0,1.0,1.0,2.2516291673878226,0.5,0.0,1.0,0.9411764705882353,0.08,0.8666666666666667,0.7745966692414834
35,3086,4326,3,0.16666666666666666,2,1.0,0.04,0.07692307692307693,1.0,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.8,0.04,0.8333333333333333,0.3464101615137754
35,3086,5767,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,3086,2344,3,0.058823529411764705,2,1.0,0.04,0.07692307692307693,1.0,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.7,0.04,0.8333333333333333,0.3464101615137754
35,3086,2989,5,0.35714285714285715,3,1.0,0.06666666666666667,0.125,0.8341141077193078,1.0,1.0,1.0,1.3709505944546687,0.6,0.0,1.0,0.6666666666666666,0.06666666666666667,0.7333333333333332,0.5477225575051661
